Position X [µm],Position Y [µm],Time [h],Lineage ID
602.5,319.5,1,1
776.5,461.5,1,2
506.5,379.5,1,3
604.5,314.5,2,1
782.5,462.5,2,2
506.5,372.5,2,3
606.5,311.5,3,1
782.5,465.5,3,2
509.5,373.5,3,3
605.5,317.5,4,1
784.5,462.5,4,2
516.5,374.5,4,3
591.5,316.5,5,1
785.5,466.5,5,2
514.5,371.5,5,3
621.5,321.5,6,1
787.5,470.5,6,2
513.5,377.5,6,3
620.5,319.5,7,1
791.5,470.5,7,2
511.5,379.5,7,3
616.5,323.5,8,1
791.5,476.5,8,2
513.5,375.5,8,3
625.5,325.5,9,1
792.5,476.5,9,2
511.5,375.5,9,3
627.5,321.5,10,1
795.5,475.5,10,2
513.5,376.5,10,3
620.5,321.5,11,1
794.5,474.5,11,2
514.5,375.5,11,3
624.5,318.5,12,1
795.5,477.5,12,2
516.5,373.5,12,3
625.5,324.5,13,1
796.5,475.5,13,2
513.5,375.5,13,3
628.5,329.5,14,1
788.5,479.5,14,2
514.5,377.5,14,3
624.5,323.5,15,1
789.5,482.5,15,2
523.5,374.5,15,3
605.5,323.5,16,1
785.5,478.5,16,2
510.5,379.5,16,3
600.5,319.5,17,1
784.5,474.5,17,2
509.5,377.5,17,3
608.5,322.5,18,1
772.5,476.5,18,2
515.5,380.5,18,3
611.5,321.5,19,1
774.5,465.5,19,2
514.5,382.5,19,3
606.5,315.5,20,1
777.5,470.5,20,2
516.5,377.5,20,3
627.5,314.5,21,11
585.5,331.5,21,12
770.5,471.5,21,2
517.5,375.5,21,3
632.5,328.5,22,11
586.5,327.5,22,12
782.5,479.5,22,2
523.5,386.5,22,3
628.5,330.5,23,11
570.5,305.5,23,12
783.5,479.5,23,2
501.5,385.5,23,3
627.5,322.5,24,11
572.5,313.5,24,12
777.5,484.5,24,2
506.5,397.5,24,3
631.5,332.5,25,11
588.5,338.5,25,12
776.5,487.5,25,2
521.5,389.5,25,3
630.502,327.499,26,11
602.498,346.501,26,12
772.5,470.5,26,2
510.5,390.5,26,3
637.51,325.497,27,11
606.498,329.501,27,12
788.501,462.499,27,21
755.499,480.5,27,22
516.5,388.5,27,3
637.5,325.5,28,11
592.5,334.5,28,12
788.5,457.5,28,21
759.5,480.5,28,22
524.5,385.5,28,3
638.5,326.5,29,11
595.5,320.5,29,12
790.501,456.5,29,21
753.499,468.5,29,22
501.497,378.497,29,31
526.503,397.503,29,32
640.501,324.5,30,11
601.499,316.5,30,12
789.503,457.498,30,21
755.497,465.502,30,22
496.5,379.5,30,31
540.5,387.5,30,32
634.5,322.5,31,11
558.5,309.5,31,12
790.501,451.5,31,21
751.499,458.5,31,22
496.5,391.5,31,31
536.5,401.5,31,32
624.5,316.5,32,11
563.5,305.5,32,12
784.502,454.499,32,21
748.498,460.501,32,22
502.5,380.5,32,31
519.5,425.5,32,32
616.5,319.5,33,11
565.5,299.5,33,12
793.5,458.5,33,21
742.5,451.5,33,22
506.5,378.5,33,31
515.5,439.5,33,32
609.5,316.5,34,11
558.5,297.5,34,12
785.5,455.5,34,21
736.5,434.5,34,22
511.5,377.5,34,31
527.5,426.5,34,32
610.5,319.5,35,11
550.5,310.5,35,12
773.5,458.5,35,21
683.5,391.5,35,22
521.5,384.5,35,31
516.5,439.5,35,32
605.5,312.5,36,11
558.5,313.5,36,12
776.5,459.5,36,21
674.5,389.5,36,22
517.5,384.5,36,31
515.5,441.5,36,32
621.5,315.5,37,11
578.5,305.5,37,12
758.5,458.5,37,21
683.5,386.5,37,22
506.5,382.5,37,31
527.5,436.5,37,32
622.5,311.5,38,11
564.5,306.5,38,12
752.5,455.5,38,21
680.5,389.5,38,22
502.5,384.5,38,31
522.5,441.5,38,32
618.5,312.5,39,11
559.5,317.5,39,12
739.5,454.5,39,21
684.5,391.5,39,22
498.5,382.5,39,31
515.5,439.5,39,32
623.5,316.5,40,11
560.5,321.5,40,12
732.5,455.5,40,21
675.5,386.5,40,22
507.5,390.5,40,31
507.5,435.5,40,32
620.5,314.5,41,11
559.5,331.5,41,12
712.5,457.5,41,21
672.5,392.5,41,22
521.5,387.5,41,31
501.5,436.5,41,32
618.5,315.5,42,11
570.5,336.5,42,12
697.5,453.5,42,21
681.5,393.5,42,22
510.5,390.5,42,31
500.5,434.5,42,32
616.5,308.5,43,11
574.5,345.5,43,12
688.5,453.5,43,21
675.5,400.5,43,22
521.5,386.5,43,31
506.5,430.5,43,32
619.5,303.5,44,11
579.5,345.5,44,12
685.5,458.5,44,21
669.5,403.5,44,22
523.5,381.5,44,31
508.5,425.5,44,32
581.501,324.499,45,11
574.499,362.501,45,12
679.5,455.5,45,21
664.5,393.5,45,22
513.5,390.5,45,31
500.5,435.5,45,32
578.5,330.5,46,111
589.882,353.943,46,112
604.5,366.5,46,12
672.5,454.5,46,21
670.5,387.5,46,22
513.5,398.499,46,31
498.5,434.5,46,32
597.481,318.988,47,111
592.497,340.489,47,112
595.51,365.543,47,12
671.5,454.5,47,21
677.5,381.5,47,22
515.5,383.5,47,31
504.5,430.5,47,32
597.552,337.511,48,111
573.447,334.488,48,112
610.501,373.501,48,12
664.5,453.5,48,21
676.5,377.5,48,22
518.5,383.5,48,31
510.5,442.5,48,32
612.5,326.499,49,111
569.5,332.5,49,112
618.5,368.5,49,12
667.5,453.5,49,21
680.5,379.5,49,22
526.5,389.5,49,31
517.5,441.5,49,32
610.5,321.5,50,111
566.5,330.5,50,112
607.5,365.5,50,12
670.5,450.5,50,21
684.5,374.5,50,22
521.5,393.5,50,31
514.5,441.5,50,32
615.501,323.499,51,111
580.496,337.456,51,112
581.513,355.658,51,121
615.5,378.5,51,122
682.5,448.5,51,21
691.5,372.5,51,22
528.5,395.5,51,31
513.5,443.5,51,32
636.503,324.5,52,111
598.46,326.561,52,112
605.609,312.299,52,121
625.5,379.5,52,122
679.5,446.5,52,21
692.5,370.5,52,22
539.5,386.5,52,31
517.5,439.5,52,32
641.501,354.502,53,111
606.407,331.556,53,112
625.523,323.483,53,121
624.5,399.5,53,122
679.5,447.5,53,21
696.5,379.5,53,22
534.5,375.5,53,31
513.5,442.5,53,32
682.5,354.499,54,111
602.497,322.497,54,112
630.498,338.496,54,121
639.502,370.504,54,122
670.5,451.5,54,21
693.5,393.501,54,22
525.5,385.5,54,31
510.5,437.5,54,32
680.5,335.5,55,111
604.492,324.497,55,112
635.502,330.501,55,121
638.5,395.5,55,122
664.5,456.5,55,21
692.5,387.5,55,22
507.499,388.5,55,311
546.501,378.5,55,312
499.5,445.5,55,32
672.507,330.488,56,111
606.5,330.5,56,112
663.493,358.512,56,121
636.5,403.5,56,122
669.5,464.5,56,21
703.5,400.5,56,22
498.5,384.5,56,311
550.5,379.5,56,312
515.5,435.5,56,32
616.533,326.486,57,111
597.379,331.547,57,112
676.5,365.5,57,121
624.5,410.5,57,122
671.5,465.5,57,21
700.5,401.5,57,22
500.494,413.494,57,311
555.5,379.5,57,312
503.499,452.503,57,321
520.53,428.515,57,322
605.537,328.47,58,111
590.362,338.609,58,112
709.5,363.499,58,121
617.5,422.5,58,122
682.5,459.5,58,21
698.5,401.501,58,22
498.498,432.497,58,311
542.5,390.5,58,312
516.399,459.558,58,321
535.603,452.445,58,322
598.486,324.458,59,111
602.546,342.648,59,112
706.5,409.5,59,121
623.5,419.5,59,122
679.5,467.5,59,21
668.5,385.5,59,22
510.496,417.497,59,311
550.501,414.499,59,312
510.5,472.5,59,321
526.514,438.517,59,322
612.564,318.5,60,111
598.364,319.007,60,112
688.5,385.5,60,121
631.5,407.5,60,122
670.5,461.5,60,21
666.5,352.5,60,22
537.502,413.496,60,311
583.5,402.5,60,312
505.5,466.5,60,321
530.493,441.514,60,322
576.499,326.5,61,111
610.505,323.499,61,112
693.5,355.5,61,121
628.5,391.5,61,122
689.5,459.5,61,21
657.5,328.5,61,22
570.5,403.5,61,311
623.5,436.5,61,312
522.507,444.452,61,321
524.509,457.606,61,322
553.5,302.5,62,111
597.497,321.502,62,112
675.5,331.5,62,121
622.5,394.5,62,122
701.5,449.5,62,21
631.501,313.5,62,22
578.5,370,62,311
647.5,439.5,62,312
527.502,428.494,62,321
522.491,455.524,62,322
566.5,279.5,63,111
595.488,314.484,63,112
646.5,303.5,63,121
617.5,405.5,63,122
