Position X [µm],Position Y [µm],Time [h],Lineage ID
216.867,113.505,1,1
143.773,188.209,1,2
216.867,112.539,2,1
145.383,189.819,2,2
214.613,113.183,3,1
146.027,189.497,3,2
213.969,111.251,4,1
147.637,189.819,4,2
212.359,113.183,5,1
149.247,189.497,5,2
210.427,112.861,6,1
148.281,188.853,6,2
207.207,112.539,7,1
146.671,188.531,7,2
205.597,111.251,8,1
144.417,185.633,8,2
206.885,111.251,9,1
144.095,183.057,9,2
208.173,112.217,10,1
151.823,176.617,10,2
206.563,111.573,11,1
154.077,174.685,11,2
206.563,108.997,12,1
154.399,174.363,12,2
206.885,108.031,13,1
153.433,177.261,13,2
212.359,103.523,14,1
153.433,177.261,14,2
220.731,101.269,15,1
152.145,176.939,15,2
220.731,100.625,16,1
151.823,178.871,16,2
220.087,109.641,17,1
150.857,178.227,17,2
218.799,102.879,18,1
149.891,176.295,18,2
211.071,108.353,19,1
147.637,176.617,19,2
215.579,111.895,20,1
140.553,187.565,20,2
209.783,118.979,21,1
142.807,190.463,21,2
210.749,123.487,22,1
141.197,188.209,22,2
212.359,130.571,23,1
146.027,176.617,23,2
215.901,130.571,24,1
145.061,180.803,24,2
211.071,136.045,25,1
146.027,189.497,25,2
211.071,137.011,26,1
145.383,193.683,26,2
211.715,136.689,27,1
144.739,188.209,27,2
210.427,131.215,28,1
148.925,180.803,28,21
140.231,193.039,28,22
210.105,129.927,29,1
148.281,185.955,29,21
146.671,198.513,29,22
211.071,130.571,30,1
141.519,178.871,30,21
148.281,193.361,30,22
209.461,136.045,31,1
146.027,173.075,31,21
145.383,191.107,31,22
208.817,137.655,32,1
153.755,172.431,32,21
144.095,186.277,32,22
210.105,135.723,33,1
154.399,172.431,33,21
146.349,192.395,33,22
214.291,130.571,34,1
152.789,172.753,34,21
146.349,193.039,34,22
207.851,121.233,35,11
213.969,137.655,35,12
153.433,172.753,35,21
146.349,191.107,35,22
207.851,118.335,36,11
214.935,136.367,36,12
154.399,172.109,36,21
147.315,192.717,36,22
222.663,105.777,37,11
215.901,132.825,37,12
155.365,172.753,37,21
144.739,187.243,37,22
222.985,102.235,38,11
213.647,138.621,38,12
156.009,172.431,38,21
143.129,185.955,38,22
221.697,102.879,39,11
216.223,136.367,39,12
156.009,173.397,39,21
142.807,184.023,39,22
223.307,107.709,40,11
220.409,136.367,40,12
155.365,173.397,40,21
144.095,186.277,40,22
222.663,107.709,41,11
221.053,136.045,41,12
153.755,175.651,41,21
146.027,188.209,41,22
223.951,106.743,42,11
222.019,137.977,42,12
153.433,175.651,42,21
142.163,186.599,42,22
209.461,108.353,43,11
218.799,137.655,43,12
150.213,174.685,43,21
140.231,185.633,43,22
210.427,101.913,44,11
213.647,138.943,44,12
150.535,175.973,44,21
144.417,190.785,44,22
211.393,103.523,45,11
205.919,136.689,45,12
153.433,176.939,45,21
139.587,184.989,45,22
212.681,104.167,46,11
208.495,133.791,46,12
152.145,177.261,46,21
137.655,187.243,46,22
214.291,104.167,47,11
206.885,135.723,47,12
155.365,173.397,47,21
142.163,185.311,47,22
215.579,105.133,48,11
207.207,138.943,48,12
155.365,176.295,48,21
137.977,186.599,48,22
215.901,107.387,49,11
207.207,135.079,49,12
154.399,176.617,49,21
142.485,191.107,49,22
219.765,108.997,50,11
209.783,137.977,50,12
152.467,178.549,50,21
145.705,195.615,50,22
219.765,107.065,51,11
207.207,138.621,51,12
150.535,175.651,51,21
145.383,191.107,51,22
221.375,111.573,52,11
207.529,137.655,52,12
148.925,176.294,52,21
151.181,188.208,52,221
142.805,193.362,52,222
227.171,111.251,53,11
208.817,139.909,53,12
149.891,173.075,53,211
157.297,181.125,53,212
148.603,191.429,53,221
133.147,187.887,53,222
226.849,113.183,54,11
206.563,142.485,54,12
152.467,172.109,54,211
158.263,182.735,54,212
147.637,191.751,54,221
137.655,185.311,54,222
228.137,111.895,55,11
206.885,139.909,55,12
153.755,172.431,55,211
159.551,182.091,55,212
143.451,195.293,55,221
144.739,182.413,55,222
225.239,109.641,56,11
213.969,132.181,56,12
154.399,172.109,56,211
160.196,181.769,56,212
142.163,193.683,56,221
152.467,187.887,56,222
225.239,108.675,57,11
213.969,132.825,57,12
156.009,171.143,57,211
161.161,182.735,57,212
148.925,188.209,57,221
155.687,197.547,57,222
220.087,108.031,58,11
215.901,125.741,58,121
213.003,138.943,58,122
155.687,171.786,58,211
159.229,182.736,58,212
146.349,191.107,58,221
151.179,201.411,58,222
226.206,106.098,59,11
209.461,118.335,59,121
222.985,138.621,59,122
156.331,170.499,59,211
160.195,182.735,59,212
143.451,202.377,59,221
156.975,199.479,59,222
221.053,101.913,60,111
233.997,102.503,60,112
204.953,123.487,60,121
227.815,141.197,60,122
157.619,170.176,60,211
159.873,181.77,60,212
139.909,191.107,60,221
150.857,200.123,60,222
217.833,109.641,61,111
228.459,104.811,61,112
203.416,142.213,61,121
234.255,142.485,61,122
157.941,171.143,61,211
161.161,183.701,61,212
146.993,190.785,61,221
153.755,203.021,61,222
211.071,112.861,62,111
222.663,108.675,62,112
198.191,156.009,62,121
236.187,145.383,62,122
158.263,169.211,62,211
164.703,184.023,62,212
142.163,194.649,62,221
155.365,194.327,62,222
214.934,114.471,63,111
226.206,111.895,63,112
199.801,157.619,63,121
226.205,140.875,63,122
161.161,167.601,63,211
166.635,186.277,63,212
140.231,184.989,63,221
152.789,194.327,63,222
205.599,120.263,64,111
223.307,113.505,64,112
200.445,155.043,64,121
218.155,141.519,64,122
160.195,168.889,64,211
166.635,186.277,64,212
149.247,183.379,64,221
152.467,198.513,64,222
208.504,141.511,65,111
239.085,110.285,65,112
201.411,157.942,65,121
233.611,151.501,65,122
162.449,165.991,65,211
167.601,186.277,65,212
144.417,194.327,65,221
157.941,199.479,65,222
208.496,145.06,66,111
241.017,101.269,66,112
185.955,155.043,66,121
232.001,151.179,66,122
162.771,165.991,66,211
166.957,186.277,66,212
146.349,189.819,66,221
159.873,198.835,66,222
215.58,154.077,67,111
239.085,106.099,67,112
186.921,152.789,67,121
232.645,146.993,67,122
166.313,164.381,67,211
165.025,186.599,67,212
143.773,190.785,67,221
158.585,198.191,67,222
222.342,155.686,68,111
231.679,110.285,68,112
191.429,149.247,68,121
231.357,142.163,68,122
172.431,161.483,68,211
165.025,187.565,68,212
136.367,188.209,68,221
154.399,194.327,68,222
222.672,155.359,69,111
234.899,106.421,69,112
194.649,151.179,69,121
222.341,140.231,69,122
176.939,161.483,69,211
164.382,185.954,69,212
134.435,188.531,69,221
156.652,192.718,69,222
221.071,158.585,70,111
230.069,108.353,70,112
196.259,144.417,70,121
229.103,144.739,70,122
178.871,159.229,70,211
163.093,184.345,70,212
132.825,187.243,70,221
149.891,192.395,70,222
207.532,157.299,71,111
215.579,114.471,71,112
213.969,144.095,71,121
231.679,152.789,71,122
184.023,161.161,71,211
163.415,184.989,71,212
134.757,184.667,71,221
153.111,196.903,71,222
202.06,157.946,72,111
224.595,112.217,72,112
215.257,153.433,72,121
238.441,149.891,72,122
180.481,160.195,72,211
162.127,184.023,72,212
128.317,190.141,72,221
148.603,198.835,72,222
201.738,156.656,73,111
221.375,115.437,73,112
216.867,159.873,73,121
236.831,154.077,73,122
182.091,167.923,73,211
160.517,184.989,73,212
132.181,189.175,73,221
153.433,200.767,73,222
204.646,159.229,74,111
221.697,117.047,74,112
211.393,171.143,74,121
236.509,156.653,74,122
182.091,164.703,74,211
159.873,185.633,74,212
129.927,188.531,74,221
146.993,201.089,74,222
200.775,163.74,75,111
225.239,116.081,75,112
218.477,168.245,75,121
233.933,153.111,75,122
183.379,149.891,75,211
161.162,182.734,75,212
140.231,190.785,75,221
153.111,188.531,75,222
200.449,157.944,76,111
227.171,114.149,76,112
225.561,162.127,76,121
228.781,143.451,76,122
176.617,163.415,76,211
161.483,183.379,76,212
139.586,184.022,76,2211
129.927,191.429,76,2212
149.249,187.244,76,222
194.977,160.197,77,111
229.425,112.539,77,112
229.425,157.619,77,121
222.341,139.265,77,122
171.465,160.517,77,2111
178.549,171.787,77,2112
161.163,185.31,77,212
146.027,171.465,77,2211
131.537,186.277,77,2212
152.143,187.566,77,222
196.905,159.23,78,111
234.255,108.997,78,112
209.806,169.599,78,121
225.561,138.943,78,122
174.041,156.653,78,2111
183.701,173.397,78,2112
161.161,185.633,78,212
155.365,174.685,78,2211
135.723,185.633,78,2212
151.179,197.225,78,222
189.499,164.704,79,111
234.255,107.387,79,112
221.697,159.551,79,121
234.899,144.095,79,122
173.075,150.213,79,2111
182.091,179.837,79,2112
161.809,185.316,79,212
157.297,178.871,79,2211
131.859,182.735,79,2212
150.535,194.649,79,222
183.379,165.669,80,111
231.357,105.777,80,112
224.595,157.297,80,121
233.289,143.773,80,122
178.768,145.408,80,2111
163.415,165.669,80,2112
146.671,173.075,80,2211
129.927,184.989,80,2212
154.077,187.565,80,2221
150.535,204.953,80,2222
180.803,162.127,81,111
231.679,106.421,81,112
234.898,151.824,81,121
240.052,142.484,81,122
165.347,149.569,81,2111
158.907,171.465,81,2112
145.705,169.533,81,2211
136.045,185.955,81,2212
155.043,189.175,81,2221
149.569,206.563,81,2222
177.905,159.873,82,111
230.713,103.523,82,112
241.983,149.891,82,121
232.967,136.367,82,122
158.907,152.145,82,2111
157.621,173.075,82,2112
146.991,172.753,82,2211
132.181,179.837,82,2212
146.027,188.853,82,2221
151.179,202.699,82,2222
178.871,150.857,83,111
233.611,107.065,83,112
252.609,154.399,83,121
233.611,143.451,83,122
156.653,159.229,83,2111
162.771,171.143,83,2112
151.823,178.549,83,2211
129.605,178.549,83,2212
140.553,186.277,83,2221
