Position X [µm],Position Y [µm],Time [h],Lineage ID
587.5,115.5,1,1
607.5,118.5,2,1
612.5,113.5,3,1
611.5,112.5,4,1
626.5,109.5,5,1
612.5,111.5,6,1
550.5,109.5,7,1
545.5,104.5,8,1
543.5,105.5,9,1
521.5,97.5,10,1
482.5,98.5,11,1
451.5,99.5,12,1
450.5,95.5,13,1
449.5,94.5,14,1
448.5,95.5,15,1
447.5,96.5,16,1
445.5,94.5,17,1
443.5,95.5,18,1
444.5,96.5,19,1
441.5,97.5,20,1
441.5,93.5,21,1
442.5,93.5,22,1
441.5,91.5,23,1
444.5,89.5,24,1
442.5,88.5,25,1
443.5,90.5,26,1
442.5,87.5,27,1
438.5,77.5,28,1
446.5,86.5,29,1
440.5,71.5,30,1
444.5,70.5,31,1
446.5,69.5,32,1
443.5,70.5,33,1
439.5,71.5,34,1
436.5,66.5,35,1
441.5,66.5,36,1
439.5,65.5,37,1
441.5,68.5,38,1
441.5,100.5,39,1
441.5,69.5,40,1
436.5,72.5,41,1
445.5,113.5,42,1
456.499,107.499,43,11
473.506,131.507,43,12
457.497,112.495,44,11
467.503,143.505,44,12
451.5,86.5,45,11
476.5,145.5,45,12
450.5,78.5,46,11
486.5,166.5,46,12
448.5,88.5,47,11
492.5,161.5,47,12
446.5,69.5,48,11
486.5,175.5,48,12
445.5,62.5,49,11
499.5,175.5,49,12
446.5,60.5,50,11
497.5,172.5,50,12
449.5,59.5,51,11
489.5,165.5,51,12
442.5,55.5,52,11
490.5,165.5,52,12
443.5,56.5,53,11
491.5,163.5,53,12
447.5,55.5,54,11
491.5,163.5,54,12
449.5,54.5,55,11
491.5,163.5,55,12
452.5,57.5,56,11
491.5,163.5,56,12
444.5,59.5,57,11
494.5,155.5,57,12
443.5,60.5,58,11
496.5,150,58,12
451.5,59.5,59,11
506.5,152.5,59,12
445.5,57.5,60,11
499.5,160.5,60,12
451.5,57.5,61,11
492.5,161.5,61,12
446.5,58.5,62,11
493.5,164.5,62,12
446.5,58.5,63,11
500.5,167.5,63,12
443.5,59.5,64,11
494.5,171.5,64,12
443.5,58.5,65,11
493.5,178.5,65,12
450.5,61.5,66,11
495.5,172.5,66,12
458.5,62.5,67,11
499.5,169,67,12
452.5,59.5,68,11
489.5,169.5,68,12
445.5,60.5,69,11
493.5,166.5,69,12
443.5,60.5,70,11
493.5,166.5,70,12
444.5,62.5,71,11
493.5,166.5,71,12
442.5,62.5,72,11
493.5,166.5,72,12
444.5,62.5,73,11
493.5,166.5,73,12
442.5,62.5,74,11
493.5,169.5,74,12
450.5,69.5,75,11
493.5,169.5,75,12
446.5,67.5,76,11
493.5,169.5,76,12
446.5,65.5,77,11
493.5,169.5,77,12
452.5,68.5,78,11
493.5,169.5,78,12
448.5,74.5,79,11
493.5,169.5,79,12
449.5,83.5,80,11
493.5,169.5,80,12
446.5,90.5,81,11
493.5,169.5,81,12
441.5,102.5,82,11
493.5,169.5,82,12
446.5,103.5,83,11
493.5,148.5,83,12
442.5,107.5,84,11
493.5,148.5,84,12
445.5,105.5,85,11
488.5,156.5,85,12
465.5,126.5,86,11
488.502,150.502,86,12
474.5,99.5,87,111
437.5,118.5,87,112
489.5,152.5,87,12
468.5,109.5,88,111
429.5,121.5,88,112
494.5,163.5,88,12
470.5,110.5,89,111
437.5,131.5,89,112
489,170.5,89,12
406.5,134.5,90,112
494.5,169.5,90,12
429.5,126.5,91,112
487,172.5,91,12
413.5,132.5,92,112
492.5,174.5,92,12
418.5,132.5,93,112
492.5,174.5,93,12
415.5,133.5,94,112
497.5,173.5,94,12
414.5,135.5,95,112
504.5,165.5,95,12
416.85,130.976,96,112
498.5,174.5,96,12
417.5,132.5,97,112
487.5,176.5,97,12
417.5,132.5,98,112
488.5,173.5,98,12
424.5,131.5,99,112
488.5,173.5,99,12
490.5,176.5,100,12
489.5,172.5,101,12
491.5,172.5,102,12
493.5,145.5,103,12
426.5,131.5,104,112
486.5,134.5,104,12
426.5,133.5,105,112
487.5,146.5,105,12
422.5,132.5,106,112
491.5,170.5,106,12
425.5,131.5,107,112
481.5,184.5,107,12
416.5,132.5,108,112
479.5,186.5,108,12
429.501,136.496,109,1121
427.498,166.514,109,1122
496.5,138.5,109,12
426.5,132.499,110,1121
432.501,168.502,110,1122
478.5,131.5,110,12
424.5,129.499,111,1121
431.501,164.503,111,1122
484.5,131.5,111,12
432.5,158.5,112,1122
477.5,142.5,112,12
430.5,164.5,113,1122
475.5,156.5,113,12
428.5,165.5,114,1122
476.5,181.5,114,12
426.5,165.5,115,1122
512.5,203.5,115,12
426.5,165.5,116,1122
500.753,197.142,116,12
426.5,165.5,117,1122
500.5,189.5,117,12
428.5,167.5,118,1122
490.5,197.5,118,12
428.5,166.5,119,1122
490.5,197.5,119,12
427.5,165.5,120,1122
503.5,201.5,120,12
427.5,165.5,121,1122
492.5,202.5,121,12
428.5,166.5,122,1122
493.5,197.5,122,12
427.5,165.5,123,1122
506.5,195.5,123,12
428.5,164.5,124,1122
499.5,190.5,124,12
428.5,157.5,125,1122
492.5,195.5,125,12
428.5,155.5,126,1122
510.5,185.5,126,12
427.5,157.5,127,1122
498.5,198.5,127,12
427.5,164.5,128,1122
498.5,191.5,128,12
430.5,153.5,129,1122
485.5,221.5,129,12
428.5,155.5,130,1122
482.5,198.5,130,12
429.5,157.5,131,1122
483.5,223.5,131,12
431.5,162.5,132,1122
495.5,192.5,132,12
432.5,155.5,133,1122
502.5,203.5,133,12
434.5,153.5,134,1122
503.5,206.5,134,12
435.5,162.5,135,1122
511.5,209.5,135,12
436.5,157.5,136,1122
512.5,198.5,136,121
439.5,168.5,137,1122
508.5,193.5,137,121
422.5,153.5,138,1122
508.5,185.5,138,121
422.5,151.5,139,1122
502.5,181.5,139,121
422.5,150.5,140,1122
502.5,183.5,140,121
422.5,147.5,141,1122
506.5,174.5,141,121
420.5,151.5,142,1122
506.5,173.5,142,121
418.5,153.5,143,1122
503.5,181.5,143,121
420.5,143.5,144,1122
507.5,173.5,144,121
421.5,142.5,145,1122
503.5,170.5,145,121
483.5,213.5,145,122
422.5,139.5,146,1122
500.5,184.5,146,121
495.499,222.502,146,122
423.5,135.5,147,1122
503.5,180.5,147,121
492.5,218.501,147,122
426.5,132.5,148,1122
501.502,183.495,148,121
496.493,211.519,148,122
426.5,130.5,149,1122
499.5,182.5,149,121
480.499,210.502,149,122
428.5,126.5,150,1122
502.501,183.498,150,121
495.495,213.509,150,122
434.5,125.5,151,1122
504.5,162.5,151,121
489.5,216.5,151,122
457.5,105.5,152,11221
428.5,156.5,152,11222
513.5,157.5,152,121
486.5,214.5,152,122
446.5,102.5,153,11221
424.5,162.5,153,11222
505.5,158.5,153,121
483.5,210.5,153,122
459.5,110.5,154,11221
427.5,163.5,154,11222
504.5,165.5,154,121
482.5,213.5,154,122
459.5,108.5,155,11221
440.5,177.5,155,11222
499.5,180.5,155,1211
524.5,144.5,155,1212
486.5,218.5,155,122
454.5,139.5,156,11221
425.5,172.5,156,11222
506.5,192.5,156,1211
529.5,127.5,156,1212
474.5,209.5,156,122
462.5,138.5,157,11221
408.5,173.5,157,11222
525.5,182.5,157,1211
532.5,124.5,157,1212
479.5,204.5,157,122
463.5,106.5,158,11221
404.5,177.5,158,11222
523.503,174.503,158,1211
500.497,152.497,158,1212
484,214.5,158,122
459.5,117.5,159,11221
405.5,176.5,159,11222
555.5,153.5,159,1211
497.5,164.5,159,1212
482.5,210.5,159,122
462.499,149.499,160,11221
403.5,178.5,160,11222
541.5,168.5,160,1211
495.501,165.501,160,1212
480,214.5,160,122
455.5,122.5,161,11221
404.5,173.5,161,11222
551.5,178.5,161,1211
512.5,157.5,161,1212
478.5,203.5,161,122
463.5,113.5,162,11221
412.5,172.5,162,11222
556.5,175.5,162,1211
529.5,146.5,162,1212
477.5,207.5,162,122
