Position X [µm],Position Y [µm],Time [h],Lineage ID
761.5,290.5,1,1
822.5,496.5,1,2
442.5,339.5,1,3
762.5,292.5,2,1
821.5,503.5,2,2
442.5,341.5,2,3
763.5,291.5,3,1
819.496,504.499,3,21
854.504,508.501,3,22
444.5,341.5,3,3
763.5,290.5,4,1
830.412,505.524,4,21
852.079,501.98,4,22
433.5,334.5,4,31
478.5,361.5,4,32
765.5,289.5,5,1
834.43,502.534,5,21
856.061,495.971,5,22
450.467,337.476,5,31
472.533,348.524,5,32
765.5,288.5,6,1
828.481,502.515,6,21
852.016,489.988,6,22
441.843,331.877,6,31
455.68,341.642,6,32
765.5,289.5,7,1
828.497,476.498,7,21
856.002,494.002,7,22
431.89,331.879,7,31
443.629,345.641,7,32
766.5,286.5,8,1
830.475,478.48,8,21
852.021,492.017,8,22
435.463,337.437,8,31
443.537,358.563,8,32
767.5,284.5,9,1
830.481,481.485,9,21
853.519,494.515,9,22
435.929,325.825,9,31
441.58,341.692,9,32
767.5,286.5,10,1
820.498,490.5,10,21
857.502,493.5,10,22
435.981,321.843,10,31
437.519,339.669,10,32
768.5,284.5,11,1
823.499,481.499,11,21
859.501,491.501,11,22
434.485,327.47,11,31
441.515,352.53,11,32
768.5,286.5,12,1
823.998,481.999,12,21
857.502,493.501,12,22
435.481,326.462,12,31
442.519,350.538,12,32
768.5,287.5,13,1
827.499,472.499,13,21
859.501,490.501,13,22
436.491,322.479,13,31
442.509,349.521,13,32
763.5,286.5,14,1
845.469,476.471,14,21
864.026,492.024,14,22
433.491,324.488,14,31
446.509,349.512,14,32
758.5,286.5,15,1
847.476,473.475,15,21
864.02,492.021,15,22
433.486,324.484,15,31
448.514,346.516,15,32
750.5,297.5,16,1
839.393,481.417,16,21
856.091,492.07,16,22
431.853,323.853,16,31
443.669,335.669,16,32
740.5,303.5,17,1
826.493,482.496,17,21
857.507,489.504,17,22
445.426,339.426,17,31
454.1,348.1,17,32
731.5,312.5,18,1
831.492,488.498,18,21
