Position X [µm],Position Y [µm],Time [h],Lineage ID
376.5,403.5,1,1
949.5,337.5,1,2
382.5,407.5,2,1
954.5,337.5,2,2
385.5,410.5,3,1
952.5,339.5,3,2
388.5,410.5,4,1
955.5,335.5,4,2
398.5,410.5,5,1
957.5,337.5,5,2
397.5,400.5,6,1
959.5,334.5,6,2
403.5,396.5,7,1
955.5,336.5,7,2
410.5,392.5,8,1
959.5,336.5,8,2
414.5,391.5,9,1
960.5,337.5,9,2
412.5,392.5,10,1
958.5,335.5,10,2
415.5,392.5,11,1
963.5,338.5,11,2
424.5,387.5,12,1
965.5,338.5,12,2
425.5,388.5,13,1
954.5,339.5,13,2
417.5,393.5,14,1
957.5,337.5,14,2
410.5,399.5,15,1
958.5,343.5,15,2
407.5,394.5,16,1
966.5,347.5,16,2
397.5,399.5,17,1
953.5,367.5,17,2
398.5,391.5,18,1
953.5,363.5,18,2
365.5,391.5,19,1
952.5,355.5,19,2
349.5,394.5,20,1
956.5,343.5,20,2
354.5,399.5,21,1
976.5,348.5,21,2
330.5,404.5,22,1
949.5,352.5,22,2
332.5,406.5,23,1
957.5,351.5,23,2
346.5,403.5,24,1
960.5,350.5,24,2
344.5,401.5,25,1
962.5,352.5,25,2
367.501,385.499,26,11
340.499,407.501,26,12
961.5,330.5,26,21
966.196,377.034,26,22
380.5,376.5,27,11
333.5,417.5,27,12
957.5,342.5,27,21
1010.5,341.5,27,22
400.5,395.5,28,11
329.5,405.5,28,12
961.5,342.5,28,21
1028.5,332.5,28,22
424.5,387.5,29,11
332.5,408.5,29,12
956.5,364.5,29,21
1038.5,317.5,29,22
421.5,386.5,30,11
332.5,385.5,30,12
961.5,342.5,30,21
1034.5,310.5,30,22
391.5,377.5,31,11
332.5,354.5,31,12
962.5,349.5,31,21
1028.5,316.5,31,22
375.5,389.5,32,11
330.5,340.5,32,12
974.5,341.5,32,21
1029.5,316.5,32,22
346.5,395.5,33,11
331.5,334.5,33,12
983.5,342.5,33,21
1027.5,318.5,33,22
327.5,416.5,34,11
293.5,330.5,34,12
972.5,340.5,34,21
1028.5,323.5,34,22
325.5,404.5,35,11
291.5,326.5,35,12
962.5,345.5,35,21
1029.5,323.5,35,22
326.5,398.5,36,11
292.5,328.5,36,12
970.5,371.5,36,21
1031.5,319.5,36,22
325.5,396.5,37,11
294.5,338.5,37,12
973.5,378.5,37,21
1028.5,316.5,37,22
324.5,407.5,38,11
291.5,351.5,38,12
976.5,374.5,38,21
1033.5,318.5,38,22
320.5,414.5,39,11
300.5,365.5,39,12
965.5,377.5,39,21
1034.5,319.5,39,22
323.5,416.5,40,11
292.5,359.5,40,12
957.5,369.5,40,21
1036.5,321.5,40,22
325.501,424.501,41,11
310.499,390.499,41,12
961.5,363.5,41,21
1035.5,321.5,41,22
319.5,437.5,42,11
314.5,392.5,42,12
966.5,361.5,42,21
1039.5,320.5,42,22
319.5,437.5,43,11
314.5,392.5,43,12
966.5,361.5,43,21
1039.5,320.5,43,22
321.5,416.5,44,11
311.5,348.5,44,12
970.5,370.5,44,21
1029.5,324.5,44,22
312.5,408.5,45,11
288.5,343.5,45,12
947.5,340.5,45,21
1032.5,321.5,45,22
314.5,415.5,46,11
293.5,355.5,46,12
966.5,339.5,46,21
1029.5,317.5,46,22
311.5,427.5,47,11
296.5,361.5,47,12
960.5,335.5,47,21
1030.5,323.5,47,22
294.5,437.5,48,11
292.5,365.5,48,12
951.5,336.5,48,21
1021.5,323.5,48,22
311.5,455.5,49,11
292.5,381.5,49,12
957.5,342.5,49,21
1014.5,333.5,49,22
294.5,461.5,50,11
288.5,388.5,50,12
982.501,336.499,50,211
950.499,353.501,50,212
1021.5,307.5,50,221
1034.501,340.502,50,222
310.5,459.5,51,11
297.5,390.5,51,12
974.504,340.502,51,211
941.496,333.498,51,212
1035.5,311.5,51,221
1043.535,320.925,51,222
314.5,455.5,52,11
327.5,363.5,52,12
978.5,323.5,52,211
944.5,347.5,52,212
1025.499,327.501,52,221
1044.501,304.499,52,222
304.5,458.5,53,11
303.5,357.5,53,12
1009.5,338.5,53,211
956.5,340.5,53,212
1046.501,329.499,53,221
1026.5,290.5,53,222
345.5,475.5,54,11
355.5,339.5,54,12
1023.5,336.5,54,211
953.5,335.5,54,212
1043.501,307.499,54,221
1038.5,260.5,54,222
347.5,479.5,55,11
343.5,354.5,55,121
361.124,316.375,55,122
1035.5,338.501,55,211
951.5,331.5,55,212
1039.5,298.499,55,221
1039.5,247.5,55,222
328.5,450.5,56,111
359.5,472.5,56,112
353.5,374.5,56,121
305.5,342.5,56,122
1036.501,339.501,56,211
949.5,328.5,56,212
1014.5,312.5,56,221
1043.5,271.5,56,222
286.5,418.5,57,111
346.5,458.5,57,112
293.5,349.5,57,121
295.5,303.5,57,122
1044.507,339.495,57,211
937.5,333.5,57,212
1020.471,348.518,57,221
1035.5,272.5,57,222
287.5,416.5,58,111
355.5,462.5,58,112
281.499,329.501,58,121
312.501,309.499,58,122
1046.5,328.5,58,211
913.5,337.5,58,212
1029.887,346.705,58,221
1035.5,258.5,58,222
289.5,418.5,59,111
352.5,457.5,59,112
266.498,333.502,59,121
