Position X [µm],Position Y [µm],Time [h],Lineage ID
221.697,169.533,1,1
201.733,145.705,1,2
222.341,170.821,2,1
205.597,144.417,2,2
222.341,170.177,3,1
205.597,142.485,3,2
222.663,170.177,4,1
203.987,142.163,4,2
223.307,170.499,5,1
208.173,136.367,5,2
218.799,171.465,6,1
205.919,138.621,6,2
213.969,181.769,7,1
203.987,139.909,7,2
212.681,184.667,8,1
205.919,142.163,8,2
212.681,187.565,9,1
204.953,140.875,9,2
214.935,190.463,10,1
206.241,139.909,10,2
211.715,193.039,11,1
203.987,137.655,11,2
200.767,204.953,12,1
204.631,138.943,12,2
199.479,206.885,13,1
199.479,137.655,13,2
199.479,208.173,14,1
203.021,135.723,14,2
198.191,210.427,15,1
210.105,136.367,15,2
194.971,207.207,16,1
213.969,137.333,16,2
193.361,203.987,17,1
212.359,147.637,17,2
193.361,204.953,18,1
203.021,147.637,18,2
191.751,202.699,19,1
199.479,152.789,19,2
200.445,210.427,20,1
196.581,153.755,20,2
192.073,206.241,21,1
210.427,148.281,21,2
199.801,200.767,22,1
210.427,146.027,22,2
204.953,194.327,23,1
213.647,144.417,23,2
207.851,189.819,24,1
213.647,146.349,24,2
215.579,187.565,25,1
213.969,135.401,25,2
215.901,181.125,26,1
214.613,132.181,26,2
217.833,176.617,27,1
215.579,131.859,27,2
218.155,179.193,28,1
213.969,132.825,28,2
219.121,177.583,29,1
214.613,133.147,29,2
217.833,177.583,30,1
214.935,133.147,30,2
216.867,179.193,31,1
213.969,133.147,31,2
216.867,183.379,32,1
213.647,132.825,32,2
217.189,182.091,33,1
215.579,132.825,33,2
219.121,176.617,34,1
213.969,132.825,34,2
219.443,171.465,35,1
215.579,133.147,35,2
222.341,163.415,36,1
216.545,133.469,36,2
228.781,168.245,37,1
215.901,132.825,37,2
234.255,172.109,38,1
215.901,132.825,38,2
236.187,175.651,39,1
215.579,133.469,39,2
236.509,169.855,40,1
215.901,133.469,40,2
232.001,173.719,41,1
215.579,134.113,41,2
236.509,175.651,42,11
219.443,182.413,42,12
230.713,170.499,43,11
216.867,172.431,43,12
227.815,169.211,44,11
213.325,171.465,44,12
224.273,168.245,45,11
212.359,176.939,45,12
221.375,172.109,46,11
210.427,189.497,46,12
223.307,169.211,47,11
215.579,188.853,47,12
219.443,169.855,48,11
215.901,184.667,48,12
