Position X [µm],Position Y [µm],Time [h],Lineage ID
336.651,127.029,1,1
337.939,130.249,2,1
337.939,130.249,3,1
338.261,128.961,4,1
338.261,128.961,5,1
339.871,128.961,6,1
339.871,128.639,7,1
340.837,129.927,8,1
340.193,129.927,9,1
341.159,130.249,10,1
340.193,129.927,11,1
340.193,131.859,12,1
340.193,131.859,13,1
340.193,133.469,14,1
340.193,132.503,15,1
340.193,133.469,16,1
338.261,132.503,17,1
337.617,131.859,18,1
337.939,133.469,19,1
337.939,130.893,20,1
338.261,131.215,21,1
338.261,132.181,22,1
340.193,133.147,23,11
337.617,120.589,23,12
340.193,135.401,24,11
333.431,124.453,24,12
342.125,133.147,25,11
330.211,126.063,25,12
343.413,132.503,26,11
327.957,126.063,26,12
344.057,133.469,27,11
328.923,127.029,27,12
344.057,133.469,28,11
328.923,127.995,28,12
343.413,132.181,29,11
331.177,130.893,29,12
343.413,133.469,30,11
333.431,134.757,30,12
342.447,133.469,31,11
333.753,126.063,31,12
344.057,133.469,32,11
332.465,128.639,32,12
339.227,131.859,33,11
332.143,125.419,33,12
342.125,134.435,34,11
338.905,122.199,34,12
341.159,134.113,35,11
340.193,120.589,35,12
341.481,134.113,36,11
341.159,123.165,36,12
342.125,134.757,37,11
340.193,121.233,37,12
342.125,134.757,38,11
333.753,124.453,38,12
342.125,134.757,39,11
335.363,127.029,39,12
343.091,135.401,40,11
332.143,129.927,40,12
342.125,134.757,41,11
329.245,131.215,41,12
342.125,135.401,42,11
327.313,133.469,42,12
342.125,134.757,43,11
327.313,137.333,43,12
341.481,135.401,44,11
326.025,137.655,44,12
340.193,135.401,45,11
328.279,134.757,45,12
340.837,136.367,46,11
332.143,131.859,46,12
341.159,137.333,47,11
334.397,130.893,47,12
341.159,135.723,48,11
327.313,132.181,48,12
340.193,135.723,49,11
325.703,138.782,49,121
339.871,128.961,49,122
341.481,139.909,50,111
336.651,128.961,50,112
325.703,138.943,50,121
332.787,123.165,50,122
341.159,139.587,51,111
342.125,127.995,51,112
323.771,138.943,51,121
332.465,124.453,51,122
336.973,137.977,52,111
344.057,130.893,52,112
328.279,143.451,52,121
335.363,118.979,52,122
337.617,137.333,53,111
344.057,129.927,53,112
323.771,137.333,53,121
334.719,118.013,53,122
335.685,137.333,54,111
344.701,130.249,54,112
320.551,134.113,54,121
332.787,115.759,54,122
336.651,138.943,55,111
340.193,131.215,55,112
320.551,134.757,55,121
332.787,114.471,55,122
336.651,138.621,56,111
338.261,131.859,56,112
318.619,134.757,56,121
345.667,119.301,56,122
317.331,133.469,57,121
346.955,122.521,57,122
316.365,135.401,58,121
348.565,120.267,58,122
312.823,134.113,59,121
348.565,118.335,59,122
305.417,134.435,60,121
347.599,119.945,60,122
305.417,131.215,61,121
347.599,119.945,61,122
302.197,133.469,62,121
347.599,118.335,62,122
305.095,134.435,63,121
349.531,118.335,63,122
300.587,132.181,64,121
347.921,118.979,64,122
300.587,137.333,65,121
348.233,120.082,65,122
299.943,135.723,66,121
346.633,125.419,66,122
300.909,137.333,67,121
345.667,125.419,67,122
297.689,133.469,68,121
346.633,123.809,68,122
298.333,134.757,69,121
347.599,123.165,69,122
297.367,132.181,70,121
346.633,121.555,70,122
298.977,131.859,71,121
345.989,123.165,71,122
295.435,135.401,72,1211
299.621,123.487,72,1212
345.667,123.487,72,122
298.333,144.417,73,1211
294.469,127.995,73,1212
345.506,128.961,73,122
301.875,142.163,74,1211
289.639,136.367,74,1212
345.345,135.401,74,122
298.977,146.349,75,1211
288.995,124.453,75,1212
345.667,137.333,75,122
303.807,144.417,76,1211
288.995,129.927,76,1212
339.871,133.147,76,122
295.113,148.281,77,1211
289.961,127.029,77,1212
346.311,145.383,77,1221
296.401,137.655,78,1211
283.199,129.927,78,1212
345.345,148.603,78,1221
348.887,104.811,78,1222
296.401,143.129,79,1211
286.741,127.673,79,1212
345.667,150.535,79,1221
349.531,100.625,79,1222
290.927,142.807,80,1211
292.537,125.741,80,1212
345.667,155.043,80,1221
349.531,100.625,80,1222
298.333,136.689,81,1211
282.555,133.147,81,1212
345.667,149.891,81,1221
291.571,133.469,82,1211
278.369,138.621,82,1212
346.311,154.077,82,1221
345.667,128.961,82,1222
281.267,128.639,83,1211
285.453,144.417,83,1212
344.701,163.415,83,1221
346.633,135.401,83,1222
279.979,134.113,84,1211
294.469,143.129,84,1212
345.667,165.025,84,1221
346.633,140.875,84,1222
283.199,134.435,85,1211
293.503,147.315,85,1212
344.701,167.279,85,1221
346.955,137.333,85,1222
281.267,135.723,86,1211
293.503,149.247,86,1212
344.701,160.517,86,1221
348.565,123.487,86,1222
286.419,135.723,87,1211
289.639,150.535,87,1212
345.667,147.637,87,1221
348.565,108.031,87,1222
283.199,140.875,88,1211
295.757,155.043,88,1212
345.345,149.569,88,1221
347.921,101.913,88,1222
285.453,141.841,89,1211
295.435,157.297,89,1212
344.701,144.095,89,1221
347.599,98.371,89,1222
294.147,142.807,90,1211
