Position X [µm],Position Y [µm],Time [h],Lineage ID
480.487,461.489,1,1
529.516,466.49,1,2
550.5,622.5,1,3
503.497,476.521,1,4
493.465,466.464,2,1
537.519,478.493,2,2
554.5,624.5,2,3
509.516,483.542,2,4
487,456,3,1
549.509,480.497,3,2
553.5,632.5,3,3
518.491,485.503,3,4
492.499,460.499,4,1
553.511,479.498,4,2
551.5,632.5,4,3
522.49,481.502,4,4
486.499,461.499,5,1
552.507,480.502,5,2
551.5,631.5,5,3
519.995,475.999,5,4
472.5,457.5,6,1
545.504,479.499,6,2
551.5,629.5,6,3
510.496,481.501,6,4
474.5,454.5,7,1
546.503,482.5,7,2
552.5,626.5,7,3
510.497,480.5,7,4
473.5,455.5,8,1
544.505,490.502,8,2
552.5,627.5,8,3
511.495,484.498,8,4
461.5,453.5,9,1
545.502,492.501,9,2
555.5,625.5,9,3
509.498,484.499,9,4
466.5,457.5,10,1
555.501,495.5,10,2
555.5,625.5,10,3
516.499,487.5,10,4
469.5,458.5,11,1
552.573,478.342,11,21
547.019,496.168,11,22
555.5,625.5,11,3
525.41,491.477,11,4
473.5,448.5,12,1
549.531,480.294,12,21
550.048,496.194,12,22
557.5,625.5,12,3
526.418,489.5,12,4
480.5,454.5,13,1
557.001,468.995,13,21
553.013,503.014,13,22
556.5,625.5,13,3
526.985,492.991,13,4
474.5,458.5,14,1
555.504,466.466,14,21
554.053,493.018,14,22
555.5,624.5,14,3
530.44,496.516,14,4
466.5,455.5,15,1
544.5,457.499,15,21
558.501,494.501,15,22
555.5,623.5,15,3
515.5,492.5,15,4
471.5,455.5,16,1
525.5,453.5,16,21
554.5,491.5,16,22
553.5,625.5,16,3
513.5,504.5,16,4
473.5,459.5,17,1
522.999,434.997,17,21
551.506,492.503,17,22
550.5,625.5,17,3
530.505,469.491,17,41
515.49,494.508,17,42
488.5,457.5,18,1
527.5,433.5,18,21
555.521,499.507,18,22
551.5,627.5,18,3
540.499,474.486,18,41
525.48,500.507,18,42
471.5,459.5,19,1
526.5,428.5,19,21
551.522,496.506,19,22
561.5,617.5,19,3
536.491,473.485,19,41
523.487,505.509,19,42
443.5,457.5,20,1
527.5,431.499,20,21
543.503,496.502,20,22
565.5,596.5,20,3
521.498,472.498,20,41
506.498,506.501,20,42
437.5,454.5,21,1
528.5,429.5,21,21
548.502,495.502,21,22
573.5,608.5,21,3
522.499,474.498,21,41
499.499,502.501,21,42
438.5,457.5,22,1
528.5,424.499,22,21
546.503,494.503,22,22
578.575,600.437,22,31
561.425,612.563,22,32
528.498,467.498,22,41
500.5,499.5,22,42
484.5,453.5,23,1
526.5,417.5,23,21
556.506,487.652,23,22
571.5,588.5,23,31
566.5,636.5,23,32
555.994,468.858,23,41
494.5,500.5,23,42
495.5,442.5,24,1
525.5,404.5,24,21
546.499,503.501,24,22
592.5,586.5,24,31
550.5,637.5,24,32
570.501,479.499,24,41
476.5,494.5,24,42
496.5,438.5,25,1
524.5,400.5,25,21
547.5,502.5,25,22
603.5,586.5,25,31
548.5,641.5,25,32
581.5,475.5,25,41
486.5,491.5,25,42
492.5,449.5,26,1
522.5,403.5,26,21
556.501,502.5,26,22
599.5,591.5,26,31
548.5,647.5,26,32
593.5,468.5,26,41
517.499,497.5,26,42
497.5,448.5,27,1
524.5,405.5,27,21
554.505,499.503,27,22
605.5,579.5,27,31
556.5,640.5,27,32
598.5,464.5,27,41
522.495,491.497,27,42
508.5,452.5,28,11
466.5,462.5,28,12
522.5,395.5,28,21
561.5,499.5,28,22
600.5,587.5,28,31
557.5,641.5,28,32
610.5,464.5,28,41
513.5,498.5,28,42
507.5,450.5,29,11
459.5,451.5,29,12
522.5,400.5,29,21
556.509,501.5,29,22
606.5,576.5,29,31
565.5,633.5,29,32
613.5,461.5,29,41
