Position X [µm],Position Y [µm],Time [h],Lineage ID
170.821,182.735,1,1
172.753,181.125,2,1
172.753,182.735,3,1
173.397,181.447,4,1
173.397,181.447,5,1
173.397,179.837,6,1
173.397,182.091,7,1
175.007,180.159,8,1
173.075,180.803,9,1
172.109,179.515,10,1
166.957,185.955,11,1
168.567,181.769,12,1
170.177,181.125,13,1
169.855,179.193,14,1
169.855,180.159,15,1
169.533,180.803,16,1
167.923,187.887,17,1
170.821,186.599,18,1
172.109,184.989,19,1
172.431,182.735,20,1
172.431,174.041,21,11
168.567,185.633,21,12
173.075,178.549,22,11
159.551,178.549,22,12
173.397,178.871,23,11
158.585,171.787,23,12
175.007,177.905,24,11
157.297,171.143,24,12
177.583,178.227,25,11
160.517,173.397,25,12
178.549,172.753,26,11
162.771,171.465,26,12
179.193,172.431,27,11
161.483,174.041,27,12
178.549,170.177,28,11
160.517,170.177,28,12
179.193,174.363,29,11
157.941,169.533,29,12
177.261,174.685,30,11
156.331,171.143,30,12
175.651,177.905,31,11
156.975,171.143,31,12
172.109,178.549,32,11
155.365,172.109,32,12
175.329,176.939,33,11
156.009,173.075,33,12
177.261,175.329,34,11
158.907,174.363,34,12
178.871,171.465,35,11
161.805,171.465,35,12
178.227,167.279,36,11
160.195,169.533,36,12
176.617,168.245,37,11
159.551,167.279,37,12
175.973,169.533,38,11
156.17,169.855,38,12
176.778,171.143,39,11
156.975,174.363,39,12
176.617,173.075,40,11
154.721,175.329,40,12
175.533,174.159,41,11
155.365,172.109,41,12
174.685,173.075,42,11
157.941,166.313,42,12
173.397,171.143,43,11
155.365,166.957,43,12
172.753,174.363,44,11
157.941,163.737,44,12
173.075,173.075,45,111
170.499,188.209,45,112
156.653,169.211,45,12
174.685,174.685,46,111
166.313,193.361,46,112
160.839,163.737,46,121
155.365,177.261,46,122
175.329,166.957,47,111
165.991,194.327,47,112
159.873,164.059,47,121
160.839,181.125,47,122
178.227,162.771,48,111
165.347,196.581,48,112
156.975,165.347,48,121
159.229,181.447,48,122
176.295,161.483,49,111
164.059,198.191,49,112
158.585,159.229,49,121
168.245,184.667,49,122
176.295,166.635,50,111
163.415,198.835,50,112
157.297,157.297,50,121
167.279,185.633,50,122
174.685,165.347,51,111
165.347,196.581,51,112
157.619,157.619,51,121
155.043,178.549,51,122
176.939,165.347,52,111
168.567,195.615,52,112
157.619,155.687,52,121
160.517,172.753,52,122
175.007,163.093,53,111
168.245,198.191,53,112
158.263,153.755,53,121
159.551,173.719,53,122
176.617,160.839,54,111
168.889,203.021,54,112
154.399,153.433,54,121
165.347,187.243,54,122
177.583,164.059,55,111
167.279,204.631,55,112
152.145,151.823,55,121
162.771,190.141,55,122
177.583,164.703,56,111
167.923,202.699,56,112
149.891,147.637,56,121
169.211,188.209,56,122
180.159,160.517,57,111
168.245,201.089,57,112
149.569,146.349,57,121
171.787,185.633,57,122
179.837,159.229,58,111
166.957,199.801,58,112
149.247,146.349,58,121
176.617,183.379,58,122
179.837,155.043,59,111
167.601,197.547,59,112
148.281,146.027,59,121
176.617,180.481,59,122
180.803,155.043,60,111
164.059,196.259,60,112
149.891,143.129,60,121
174.041,183.379,60,122
181.769,155.687,61,111
166.957,195.293,61,112
147.315,142.807,61,121
174.041,178.871,61,122
182.735,156.009,62,111
163.415,201.089,62,112
143.773,143.773,62,121
173.075,186.921,62,122
184.345,158.585,63,111
163.737,198.513,63,112
146.027,140.231,63,121
175.007,186.277,63,122
184.667,159.551,64,111
166.635,197.869,64,112
148.281,141.519,64,121
175.651,178.227,64,122
182.091,154.399,65,111
167.601,201.411,65,112
152.789,143.451,65,121
178.227,167.923,65,122
181.125,142.807,66,1111
191.107,156.331,66,1112
166.635,199.801,66,112
152.789,137.977,66,121
182.091,169.533,66,122
180.803,147.959,67,1111
194.327,165.991,67,1112
166.635,191.107,67,112
152.467,137.333,67,121
181.447,165.669,67,122
186.599,150.857,68,1111
191.751,172.753,68,1112
163.093,190.785,68,1121
168.245,204.953,68,1122
151.823,137.011,68,121
175.973,170.177,68,122
183.379,143.129,69,1111
191.107,173.397,69,1112
162.449,192.717,69,1121
171.143,208.495,69,1122
143.129,135.723,69,1211
152.95,145.383,69,1212
185.633,161.805,69,1221
176.295,177.583,69,1222
180.803,148.281,70,1111
